t (s)	R(t)	Log Derivative
0.19600	0.026439	0.52723
0.19700	0.026510	0.46306
0.19800	0.026572	0.52253
0.19900	0.026642	0.49410
0.20000	0.026709	0.49361
0.20100	0.026774	0.47580
0.20200	0.026838	0.51621
0.20300	0.026906	0.49687
0.20400	0.026972	0.48825
0.20500	0.027036	0.48858
0.20600	0.027101	0.50016
0.20700	0.027167	0.46260
0.20800	0.027227	0.52837
0.20900	0.027296	0.49654
0.21000	0.027361	0.46458
0.21100	0.027421	0.51949
0.21200	0.027489	0.50101
0.21300	0.027554	0.47935
0.21400	0.027616	0.49744
0.21500	0.027680	0.48944
0.21600	0.027743	0.49800
0.21700	0.027807	0.46220
0.21800	0.027866	0.53641
0.21900	0.027934	0.49355
0.22000	0.027997	0.47976
0.22100	0.028058	0.47391
0.22200	0.028118	0.50731
0.22300	0.028182	0.50558
0.22400	0.028246	0.48370
0.22500	0.028307	0.48532
0.22600	0.028368	0.50670
0.22700	0.028432	0.48979
0.22800	0.028493	0.49706
0.22900	0.028555	0.46876
0.23000	0.028613	0.52455
0.23100	0.028679	0.50415
0.23200	0.028741	0.47373
0.23300	0.028800	0.49296
0.23400	0.028861	0.51704
0.23500	0.028924	0.46575
0.23600	0.028982	0.49089
0.23700	0.029042	0.48708
0.23800	0.029101	0.50705
0.23900	0.029163	0.50273
0.24000	0.029225	0.51399
0.24100	0.029287	0.45267
0.24200	0.029342	0.52157
0.24300	0.029405	0.49620
0.24400	0.029465	0.48738
0.24500	0.029524	0.47470
0.24600	0.029581	0.50278
0.24700	0.029642	0.48700
0.24800	0.029700	0.48944
0.24900	0.029759	0.49253
0.25000	0.029817	0.49691
0.25100	0.029877	0.52430
0.25200	0.029939	0.48396
0.25300	0.029996	0.51033
0.25400	0.030057	0.47391
0.25500	0.030113	0.47282
0.25600	0.030169	0.50398
0.25700	0.030228	0.52000
0.25800	0.030289	0.48670
0.25900	0.030346	0.49471
0.26000	0.030404	0.50630
0.26100	0.030463	0.47533
0.26200	0.030519	0.48140
0.26300	0.030575	0.52659
0.26400	0.030636	0.48066
0.26500	0.030691	0.49589
0.26600	0.030749	0.50248
0.26700	0.030807	0.46594
0.26800	0.030861	0.49517
0.26900	0.030918	0.52180
0.27000	0.030977	0.45365
0.27100	0.031029	0.51136
0.27200	0.031088	0.50247
0.27300	0.031145	0.48267
0.27400	0.031200	0.49705
0.27500	0.031257	0.49901
0.27600	0.031314	0.50621
0.27700	0.031371	0.45380
0.27800	0.031422	0.50337
0.27900	0.031479	0.51158
0.28000	0.031537	0.47047
0.28100	0.031590	0.53081
0.28200	0.031649	0.45477
0.28300	0.031700	0.53167
0.28400	0.031760	0.46912
0.28500	0.031812	0.50861
0.28600	0.031869	0.51216
0.28700	0.031926	0.46948
0.28800	0.031978	0.49641
0.28900	0.032033	0.49351
0.29000	0.032088	0.50033
0.29100	0.032143	0.47538
0.29200	0.032196	0.50363
0.29300	0.032251	0.50558
0.29400	0.032307	0.48977
0.29500	0.032361	0.51534
0.29600	0.032417	0.46550
0.29700	0.032468	0.52367
0.29800	0.032525	0.47029
0.29900	0.032576	0.50641
0.30000	0.032632	0.48875
